Compound,#_Atoms,Lattice Parameter (Angstroms),Density (g/cm^3),Vol/Atom,Mass,Total_Energy (eV/atom),Magnetic_Moment,Band_Gap (eV),Band Gap Type,Volume (Angstroms^3),Bulk Modulus (Gpa),avg_CN,DOSmass_CB,Nb_CB,bmass_CB,mobility_n,DOSmass_VB,Nb_VB,bmass_VB,mobility_p,gamma,kappa_L_ac,kappa_L_oc,kappa_L,beta_n,beta_p,dos_mass_tol,Nb_tol
AcNiAs,3,6.583,8.395,23.776,199.605,-5.437,0,0.145,PBE,71.328,76.206,5.333,0.008,3,0.004,38340.3463,2.581,14,0.444,30.876,1.255,4.973,0.902,5.876,131.292,35.451,0.14,
AcNiP,3,6.462,7.794,22.49,175.279,-5.61,0,0.615,PBE,67.471,82.504,5.333,2.16,3,1.038,9.3561,4.729,8,1.182,7.702,1.255,6.257,0.993,7.25,4.005,9.881,0.1,
AcNiSb,3,6.826,8.508,26.507,225.531,-5.265,0,0.391,PBE,79.522,69.803,5.333,2.548,3,1.225,6.1784,1.077,14,0.185,104.921,1.255,4.33,0.827,5.157,4.314,62.505,0.12,
CoMoAl,3,5.772,6.281,16.028,100.67,-6.745,0,0.306,MBJ,48.083,141.056,5.333,1.232,9,0.285,111.4034,2.286,14,0.394,68.562,1.255,21.333,1.62,22.953,14.103,18.066,0.1,
CrCoAl,3,5.461,5.624,13.572,76.335,-6.722,0,0.545,MBJ,40.717,162.61,5.333,4.617,3,2.22,5.9008,4.641,14,0.799,27.324,1.255,29.946,1.943,31.889,1.138,9.802,0.1,
CrCoB,3,4.984,6.532,10.317,67.385,-7.594,0,0.84,MBJ,30.95,239.975,5.333,0.225,3,0.108,809.4577,1.378,8,0.345,142.417,1.255,49.298,2.401,51.699,6.346,8.446,0.11,
CrCoGa,3,5.457,7.382,13.545,99.993,-6.409,0,0.622,MBJ,40.636,168.191,5.333,1.674,3,0.805,27.9559,1.473,14,0.254,158.055,1.255,23.147,1.726,24.873,2.773,25.877,0.1,
CrCoIn,3,5.752,7.877,15.863,124.954,-5.889,0,0.699,MBJ,47.589,139.333,5.333,0.616,6,0.187,207.4981,1.98,14,0.341,84.016,1.255,15.65,1.443,17.093,16.073,26.122,0.1,
CrFeC,3,4.895,6.788,9.774,66.34,-8.352,0,0.563,MBJ,29.321,270.387,5.333,5.116,3,2.46,8.4119,4.176,8,1.044,30.417,1.255,59.129,2.546,61.675,0.92,4.101,0.14,
CrFeGe,3,5.45,7.404,13.493,99.899,-7.431,0,0.423,MBJ,40.479,190.022,5.333,5.087,3,2.446,5.9623,5.382,8,1.346,14.61,1.255,30.154,1.834,31.988,1.251,4.773,0.1,
CrFeSi,3,5.339,5.932,12.683,75.237,-7.95,0,0.368,MBJ,38.048,207.641,5.333,9.953,3,4.785,2.3806,4.17,8,1.043,23.409,1.255,46.132,2.187,48.319,0.605,4.024,0.1,
CrFeSn,3,5.743,7.945,15.783,125.399,-6.897,0,0.466,MBJ,47.349,156.398,5.333,1.532,3,0.737,29.6924,1.934,14,0.333,97.691,1.255,19.943,1.524,21.467,3.151,23.678,0.1,
CrIrAl,3,5.76,9.426,15.924,150.11,-7.559,0,0.351,MBJ,47.773,179.152,5.333,5.324,3,2.56,5.2501,12.781,14,2.2,6.587,1.255,22.018,1.493,23.511,1.561,7.976,0.1,
CrIrB,3,5.376,10.901,12.95,141.159,-8.046,0,0.528,MBJ,38.849,237.306,5.333,13.716,3,6.594,1.6818,2.112,8,0.528,74.223,1.255,29.987,1.713,31.7,0.869,10.543,0.1,
CrIrGa,3,5.775,10.826,16.051,173.768,-7.143,0,0.361,MBJ,48.153,182.999,5.333,3.797,3,1.825,8.9041,34.652,14,5.965,1.507,1.255,19.604,1.405,21.008,2.185,5.012,0.1,
CrIrIn,3,6.042,10.814,18.376,198.728,-6.651,0,0.476,MBJ,55.129,154.748,5.333,12.746,3,6.128,1.2243,11.821,14,2.035,6.397,1.255,14.808,1.235,16.043,1.17,10.581,0.1,
CrOsGe,3,5.767,10.905,15.982,174.282,-8.247,0,0.354,MBJ,47.945,202.465,5.333,8.122,3,3.905,3.1489,3.874,8,0.969,25.487,1.255,24.242,1.474,25.716,1.252,7.704,0.1,
CrOsPb,3,6.135,12.925,19.246,248.763,-7.24,0.047,0.338,MBJ,57.739,150.077,5.333,9.635,3,4.632,1.8065,2.079,14,0.358,84.106,1.255,11.483,1.095,12.579,1.712,37.129,0.1,
CrOsSi,3,5.662,9.89,15.129,149.621,-8.786,0,0.31,MBJ,45.386,218.221,5.333,13.39,3,6.437,1.6034,3.802,8,0.951,28.258,1.255,31.086,1.637,32.723,0.785,6.6,0.1,
CrOsSn,3,6.026,10.956,18.235,199.783,-7.785,0,0.419,MBJ,54.704,174.263,5.333,13.342,3,6.414,1.2873,2.539,14,0.437,72.36,1.255,18.869,1.306,20.175,1.02,23.843,0.1,
CrReAs,3,5.794,10.692,16.21,173.319,-8.559,0.024,0.152,MBJ,48.631,197.964,5.333,11.798,3,5.672,1.7586,13.08,8,3.27,4.018,1.255,23.849,1.465,25.314,0.994,3.688,0.1,
CrReP,3,5.641,9.962,14.956,148.993,-9.029,0,0.123,MBJ,44.868,218.949,5.333,5.195,3,2.498,6.6561,12.975,8,3.244,4.497,1.255,30.804,1.64,32.444,1.403,3.198,0.1,
CrReSb,3,6.057,10.759,18.519,199.244,-8.184,0,0.241,MBJ,55.556,174.16,5.333,17.89,3,8.6,0.8286,5.092,8,1.273,14.55,1.255,19.464,1.31,20.774,0.83,6.963,0.1,
CrRhAl,3,5.729,6.425,15.67,100.675,-6.899,0.002,0.444,MBJ,47.009,159.459,5.333,5.361,3,2.577,4.625,17.757,14,3.057,3.58,1.255,26.832,1.716,28.548,1.139,4.8,0.1,
CrRhB,3,5.315,7.332,12.511,91.724,-7.44,0,0.63,MBJ,37.533,217.26,5.333,4.251,3,2.044,8.9245,2.616,8,0.654,49.302,1.255,39.056,2.022,41.078,1.24,6.551,0.1,
CrRhGa,3,5.733,7.917,15.705,124.333,-6.55,0,0.44,MBJ,47.114,163.138,5.333,3.892,3,1.871,7.648,11.451,14,1.971,7.072,1.255,21.921,1.562,23.483,1.717,7.767,0.1,
CrRuC,3,5.232,7.654,11.937,91.372,-8.265,0,0.36,MBJ,35.812,241.483,5.333,6.518,3,3.134,5.2242,4.222,8,1.056,26.723,1.255,45.411,2.119,47.53,0.922,4.722,0.12,
CrRuGe,3,5.722,8.002,15.613,124.931,-7.676,0,0.203,MBJ,46.839,185.993,5.333,9.14,3,4.394,2.4232,4.132,14,0.711,37.2,1.255,28.826,1.662,30.488,0.904,12.572,0.1,
CrRuPb,3,6.09,10.596,18.819,199.412,-6.757,0,0.333,MBJ,56.458,141.803,5.333,6.099,3,2.932,3.3894,3.026,14,0.521,45.255,1.255,12.706,1.185,13.891,1.927,25.361,0.1,
CrRuSi,3,5.62,6.777,14.795,100.27,-8.161,0,0.147,MBJ,44.384,200.581,5.333,14.659,3,7.047,1.2866,2.687,14,0.463,76.492,1.255,40.249,1.91,42.159,0.531,12.693,0.1,
CrRuSn,3,5.987,8.412,17.883,150.432,-7.239,0,0.287,MBJ,53.648,159.508,5.333,12.743,3,6.126,1.2623,2.768,14,0.477,58.186,1.255,21.117,1.435,22.551,0.858,18.538,0.1,
FeMoSi,3,5.674,6.539,15.226,99.572,-7.9,0,0.183,MBJ,45.679,176.267,5.333,0.77,3,0.37,93.9246,2.679,8,0.67,38.581,1.255,32.175,1.805,33.98,3.39,6.333,0.1,
HfAgAl,3,6.268,8.453,20.517,173.438,-5.49,0,0.068,PBE,61.55,106.243,5.333,0.249,3,0.12,308.4,6.194,3,2.978,2.481,1.255,9.341,1.116,10.457,13.082,1.901,0.1,
HfAgB,3,5.862,9.797,16.79,164.487,-5.786,0,0.147,PBE,50.37,135.707,5.333,0.045,3,0.021,5181.3949,2.093,3,1.006,16.139,1.255,11.755,1.252,13.008,37.65,3.742,0.1,
HfAgGa,3,6.237,9.75,20.215,197.096,-5.238,0,0.09,MBJ,60.646,107.349,5.333,0.507,3,0.244,107.0058,3.647,30,0.378,55.477,1.255,7.955,1.049,9.005,10.009,76.965,0.1,
HfAuAl,3,6.263,10.882,20.47,222.755,-6.176,0,0.641,PBE,61.409,126.918,5.333,0.771,3,0.371,67.4591,6.627,3,3.186,2.678,1.255,10.173,1.075,11.248,7.367,2.027,0.1,
HfAuB,3,5.919,12.373,17.28,213.804,-6.376,0,0.72,PBE,51.84,152.648,5.333,0.606,3,0.291,116.5097,1.833,3,0.881,22.135,1.255,11.705,1.171,12.876,8.946,4.604,0.1,
HfAuGa,3,6.248,12.124,20.325,246.413,-5.874,0,0.562,PBE,60.974,126.841,5.333,0.83,3,0.399,60.364,1.765,3,0.848,19.476,1.255,8.865,1.021,9.886,8.015,5.098,0.1,
HfAuIn,3,6.461,12.072,22.479,271.373,-5.647,0,0.369,PBE,67.437,115.61,5.333,0.653,3,0.314,78.79,3.039,3,1.461,7.857,1.255,7.758,0.944,8.702,9.58,3.81,0.1,
HfCoAs,3,5.792,10.677,16.192,172.887,-8.064,0,1.279,PBE,48.576,161.215,5.333,5.087,3,2.445,5.059,5.092,8,1.273,13.469,1.255,15.139,1.324,16.463,2.062,8.133,0.1,
HfCoBi,3,6.186,12.528,19.723,247.09,-7.31,0,0.969,PBE,59.168,125.393,5.333,3.446,3,1.657,7.0552,0.134,11,0.027,3373.005,1.255,8.139,1.009,9.148,3.645,157.669,0.1,
HfCoP,3,5.649,9.889,15.022,148.561,-8.43,0,1.368,PBE,45.067,176.58,5.333,1.18,3,0.567,49.5931,5.835,8,1.459,12.027,1.255,19.349,1.476,20.825,4.289,6.49,0.12,
HfCoSb,3,6.054,10.755,18.486,198.813,-7.755,0,1.127,PBE,55.458,143.683,5.333,3.321,3,1.596,8.5479,6.314,8,1.579,8.694,1.255,12.697,1.191,13.888,2.813,7.553,0.1,
HfCuB,3,5.528,9.944,14.074,139.954,-6.611,0,0.085,MBJ,42.221,156.225,5.333,0.339,3,0.163,284.4882,2.525,3,1.214,14.02,1.255,14.026,1.415,15.441,10.81,3.243,0.1,
HfFeTe,3,6.042,10.901,18.378,200.336,-7.596,0,0.824,PBE,55.134,145.573,5.333,0.026,3,0.013,12221.2475,3.439,8,0.86,21.916,1.255,12.807,1.193,14,51.426,10.93,0.1,
HfIrSb,3,6.32,12.957,21.037,272.587,-8.578,0,0.881,PBE,63.111,158.922,5.333,0.065,3,0.031,3413.4215,1.776,3,0.854,24.181,1.255,13.791,1.093,14.884,30.612,4.227,0.1,
HfNiC,3,5.336,10.892,12.664,137.932,-7.939,0,0.908,PBE,37.992,184.298,5.333,2.199,3,1.057,20.34,0.592,3,0.285,145.581,1.255,16.884,1.521,18.405,3.486,7.66,0.1,
HfNiGe,3,5.849,10.284,16.675,171.491,-7.401,0,0.563,PBE,50.025,146.182,5.333,1.675,3,0.805,24.2758,2.382,3,1.145,14.315,1.255,13.007,1.272,14.278,4.197,3.398,0.11,
HfNiSi,3,5.771,9.168,16.015,146.83,-7.765,0,0.685,PBE,48.046,157.476,5.333,0.82,3,0.394,76.3315,2.571,3,1.236,13.752,1.255,17.176,1.417,18.593,5.33,2.685,0.1,
HfNiSn,3,6.105,10.387,18.965,196.992,-7.052,0,0.376,PBE,56.896,129.269,5.333,1.093,3,0.525,40.7458,2.584,3,1.242,11.202,1.255,10.658,1.14,11.798,5.804,3.463,0.1,
HfPdSn,3,6.343,10.505,21.267,223.409,-7.053,0,0.394,PBE,63.8,126.208,5.333,0.784,3,0.377,65.4359,1.278,3,0.615,31.438,1.255,10.757,1.078,11.835,6.893,5.142,0.1,
HfPtGe,3,6.161,12.676,19.485,246.985,-7.843,0,1.138,PBE,58.454,154.42,5.333,1.759,3,0.845,23.8377,1.412,3,0.679,33.133,1.255,12.63,1.117,13.747,4.472,5.102,0.1,
